Week,Line,Location,Incident,Min Delay,Min Gap,Vehicle,has_delay,Year,Month,Day_of_Month,Hour,Minute,Bound_B,Bound_E,Bound_N,Bound_S,Bound_W
1,0.12666423490789713,0.000992242,11,10,20,4416,0,2024,1,1,2,45,0,0,0,0,1
1,0.12666423490789713,0.000360815,3,52,72,4461,1,2024,1,1,3,6,0,1,0,0,0
1,0.064380813,0.000180408,11,0,0,4545,0,2024,1,1,3,21,0,0,1,0,0
1,0.12666423490789713,0.020566480245354502,11,37,0,4551,1,2024,1,1,3,53,0,0,0,0,1
1,0.002644538,0.005412232,2,78,93,8116,1,2024,1,1,4,27,0,1,0,0,0
1,0.20390297282509576,9.020386072523904e-05,2,74,84,3531,1,2024,1,1,4,33,0,1,0,0,0
1,0.20390297282509576,0.000631427,2,39,49,4516,1,2024,1,1,4,39,0,0,0,0,1
1,0.031825643,0.009832221,4,6,18,4479,0,2024,1,1,4,52,0,1,0,0,0
1,0.10404887835126755,0.000721631,4,13,28,4408,0,2024,1,1,4,53,0,1,0,0,0
1,0.20390297282509576,0.009832221,4,15,30,4411,0,2024,1,1,4,54,0,0,0,0,1
1,0.1118913,0.010734259426303445,11,10,40,4566,0,2024,1,1,4,56,0,0,0,0,0
1,0.20390297282509576,0.009832221,4,7,13,4450,0,2024,1,1,4,57,0,0,0,0,0
1,0.031825643,0.009832221,4,12,24,4492,0,2024,1,1,5,4,0,1,0,0,0
1,0.10404887835126755,0.009832221,4,10,20,4574,0,2024,1,1,5,5,0,1,0,0,0
1,0.20390297282509576,0.000631427,2,39,49,4411,1,2024,1,1,5,9,0,1,0,0,0
1,0.20390297282509576,0.000180408,4,3,13,4416,0,2024,1,1,5,9,0,0,0,0,1
1,0.12666423490789713,0.009832221,4,5,15,4463,0,2024,1,1,5,11,0,1,0,0,0
1,0.031825643,0.002886524,4,5,17,4446,0,2024,1,1,5,16,0,1,0,0,0
1,0.20390297282509576,0.009832221,4,3,15,4507,0,2024,1,1,5,19,0,1,0,0,0
1,0.12666423490789713,0.009832221,4,4,12,4420,0,2024,1,1,5,21,0,1,0,0,0
1,0.20390297282509576,0.009832221,4,4,14,4563,0,2024,1,1,5,29,0,0,0,0,1
1,0.10404887835126755,0.000992242,4,10,20,4466,0,2024,1,1,5,31,0,0,0,0,0
1,0.20390297282509576,0.009832221,5,10,20,4496,0,2024,1,1,5,39,0,0,0,0,1
1,0.20390297282509576,0.009832221,5,10,20,4601,0,2024,1,1,5,49,0,1,0,0,0
1,0.10404887835126755,0.009832221,5,7,17,4542,0,2024,1,1,5,51,0,0,0,0,1
1,0.15548057632682838,0.004239581,3,10,20,4512,0,2024,1,1,6,29,0,0,0,1,0
1,0.12666423490789713,0.002525708,11,10,20,4517,0,2024,1,1,6,57,0,1,0,0,0
1,0.20390297282509576,0.002255097,3,50,58,4507,1,2024,1,1,7,31,0,1,0,0,0
1,0.010760532555170527,0.000360815,11,25,0,8801,1,2024,1,1,7,44,0,1,0,0,0
1,0.064380813,0.001894281,8,8,18,4556,0,2024,1,1,7,51,0,1,0,0,0
1,0.15548057632682838,0.004239581,11,10,20,4537,0,2024,1,1,8,29,0,0,0,0,0
1,0.064380813,9.020386072523904e-05,4,10,20,4573,0,2024,1,1,9,44,0,1,0,0,0
1,0.20390297282509576,0.009832221,5,4,14,4418,0,2024,1,1,9,54,0,0,0,0,1
1,0.20390297282509576,0.001623669,7,8,16,4578,0,2024,1,1,10,59,0,1,0,0,0
1,0.080977567,0.008659571,1,7,14,3367,0,2024,1,1,11,1,0,0,0,1,0
1,0.031825643,0.009832221,4,5,17,4485,0,2024,1,1,11,15,0,0,0,0,0
1,0.12666423490789713,0.002525708,11,10,20,4498,0,2024,1,1,11,30,0,1,0,0,0
1,0.080977567,0.002074689,1,6,12,8703,0,2024,1,1,12,38,0,0,0,0,1
1,0.20390297282509576,0.002615912,8,6,12,8330,0,2024,1,1,13,15,0,0,1,0,0
1,0.20390297282509576,0.000360815,11,5,15,4572,0,2024,1,1,14,26,0,0,1,0,0
1,0.20390297282509576,0.000902039,3,20,30,4540,1,2024,1,1,15,27,0,0,0,0,1
1,0.20390297282509576,0.012899152083709182,7,6,12,8326,0,2024,1,1,15,48,0,0,0,0,1
1,0.20390297282509576,0.001713873,7,6,12,8382,0,2024,1,1,17,22,0,0,0,0,1
1,0.12666423490789713,0.002164893,0,10,20,4449,0,2024,1,1,17,47,0,0,1,0,0
1,0.12666423490789713,0.004059174,3,10,20,4449,0,2024,1,1,17,53,0,0,0,0,0
1,0.15548057632682838,0.004239581,11,10,20,4522,0,2024,1,1,18,26,0,0,0,0,0
1,0.1118913,0.003698358,8,3,7,4550,0,2024,1,1,18,41,0,0,0,0,1
1,0.15548057632682838,0.001262854,7,9,18,8753,0,2024,1,1,18,45,0,0,0,0,1
1,0.047966441728980486,9.020386072523904e-05,11,10,20,4499,0,2024,1,1,20,17,0,0,0,0,1
1,0.1118913,9.020386072523904e-05,11,12,22,4559,0,2024,1,1,20,58,0,0,0,0,0
1,0.047966441728980486,0.010734259426303445,2,7,17,0,0,2024,1,1,21,9,0,0,0,0,0
1,0.12666423490789713,0.001713873,2,18,28,4419,1,2024,1,1,21,14,0,0,0,0,1
1,0.10404887835126755,0.001713873,2,8,18,0,0,2024,1,1,21,22,0,0,0,0,0
1,0.10404887835126755,0.001984485,0,10,20,4423,0,2024,1,1,22,26,0,1,0,0,0
1,0.031825643,0.000360815,2,31,41,4446,1,2024,1,1,22,41,0,1,0,0,0
1,0.15548057632682838,0.000180408,5,7,17,4465,0,2024,1,1,23,16,0,0,0,0,1
1,0.047966441728980486,0.010734259426303445,3,0,0,4505,0,2024,1,1,0,8,0,0,0,0,0
1,0.1118913,0.003698358,0,10,20,4480,0,2024,1,1,0,10,0,0,1,0,0
1,0.080977567,0.000541223,4,5,15,8693,0,2024,1,1,0,47,0,1,0,0,0
1,0.20390297282509576,0.000992242,3,10,20,4403,0,2024,1,1,0,49,0,0,0,0,1
1,0.047966441728980486,0.010824463287028685,3,10,20,4505,0,2024,1,1,1,42,0,1,0,0,0
1,0.15548057632682838,0.001713873,8,8,18,4532,0,2024,1,1,1,48,0,1,0,0,0
1,0.15548057632682838,0.002706116,11,17,0,4570,1,2024,1,1,1,50,0,1,0,0,0
1,0.047966441728980486,0.002706116,11,17,0,4567,1,2024,1,1,1,59,0,1,0,0,0
1,0.1118913,0.000451019,7,26,41,4440,1,2024,1,2,3,9,0,1,0,0,0
1,0.20390297282509576,0.009832221,4,4,12,4594,0,2024,1,2,4,51,0,0,0,0,1
1,0.20390297282509576,0.009832221,8,8,16,0,0,2024,1,2,5,22,0,0,0,0,0
1,0.006474558,0.010734259426303445,11,0,0,4582,0,2024,1,2,5,33,0,0,0,0,0
1,0.15548057632682838,9.020386072523904e-05,1,10,20,4404,0,2024,1,2,5,34,0,1,0,0,0
1,0.031825643,0.006224066,7,10,20,4530,0,2024,1,2,5,43,0,1,0,0,0
1,0.064380813,0.000541223,8,9,18,4512,0,2024,1,2,6,7,0,0,1,0,0
1,0.1118913,0.002435504,8,10,20,4455,0,2024,1,2,6,43,0,0,0,0,0
1,0.15548057632682838,0.000451019,11,10,20,4415,0,2024,1,2,6,48,0,0,0,0,1
1,0.10404887835126755,0.004059174,4,10,20,4577,0,2024,1,2,7,17,0,1,0,0,0
1,0.031825643,9.020386072523904e-05,8,10,20,4474,0,2024,1,2,7,53,0,0,0,0,0
1,0.1118913,0.000270612,4,10,20,4537,0,2024,1,2,8,34,0,0,0,0,0
1,0.1118913,0.000721631,3,10,20,4497,0,2024,1,2,8,39,0,0,0,0,0
1,0.15548057632682838,9.020386072523904e-05,6,0,0,4404,0,2024,1,2,9,48,0,1,0,0,0
1,0.12666423490789713,0.005773047,3,10,20,4427,0,2024,1,2,12,31,0,1,0,0,0
1,0.064380813,0.005773047,11,7,15,4547,0,2024,1,2,12,46,0,1,0,0,0
1,0.12666423490789713,0.003698358,0,10,20,4405,0,2024,1,2,12,55,0,0,0,0,1
1,0.064380813,9.020386072523904e-05,10,0,0,4523,0,2024,1,2,13,16,0,1,0,0,0
1,0.20390297282509576,0.005502436,8,3,8,8368,0,2024,1,2,13,31,0,1,0,0,0
1,0.1118913,9.020386072523904e-05,8,10,20,4585,0,2024,1,2,13,59,0,0,1,0,0
1,0.080977567,0.000360815,7,6,12,8794,0,2024,1,2,14,40,0,0,0,0,1
1,0.20390297282509576,0.003517951,8,6,12,7010,0,2024,1,2,14,43,0,1,0,0,0
1,0.20390297282509576,0.002525708,8,28,38,4407,1,2024,1,2,15,30,0,0,0,1,0
1,0.12666423490789713,0.020566480245354502,8,10,20,4569,0,2024,1,2,16,39,0,1,0,0,0
1,0.080977567,0.001443262,7,6,12,8036,0,2024,1,2,16,49,0,1,0,0,0
