Week,Line,Location,Incident,Min Delay,Min Gap,Vehicle,has_delay,Year,Month,Day_of_Month,Hour,Minute,Bound_B,Bound_E,Bound_N,Bound_S,Bound_W
1,0.1266642349078971,0.004059174,3,10,20,4418,0,2024,1,2,1,28,0,0,0,0,0
35,0.2039029728250957,0.000360815,3,5,10,8139,0,2024,8,30,7,1,0,0,0,0,1
9,0.080977567,0.000541223,8,10,20,8308,0,2024,2,29,18,25,0,0,0,0,1
23,0.1040488783512675,0.009200794,1,10,20,4483,0,2024,6,3,22,28,0,0,0,0,1
30,0.2039029728250957,0.005412232,1,5,10,8217,0,2024,7,27,17,44,0,1,0,0,0
4,0.2039029728250957,0.009200794,7,10,20,4445,0,2024,1,27,15,12,0,0,0,0,1
35,0.1554805763268283,0.000541223,8,8,16,4403,0,2024,8,28,4,58,0,1,0,0,0
39,0.031825643,9.020386072523904e-05,6,5,15,4620,0,2024,9,28,13,13,0,0,0,0,1
32,0.2039029728250957,0.002255097,7,10,20,8209,0,2024,8,8,19,19,0,1,0,0,0
26,0.031825643,0.000360815,5,10,20,4574,0,2024,6,27,13,50,0,0,0,0,1
28,0.2039029728250957,0.00117265,1,10,20,4522,0,2024,7,10,18,24,0,1,0,0,0
35,0.2039029728250957,0.000180408,6,6,16,4575,0,2024,8,29,12,55,0,0,0,0,1
35,0.2039029728250957,0.009200794,8,10,20,4443,0,2024,8,30,20,15,0,1,0,0,0
3,0.1554805763268283,0.0221901497384088,4,5,10,8698,0,2024,1,20,13,48,0,0,0,1,0
21,0.1266642349078971,0.00117265,4,0,0,4432,0,2024,5,21,16,56,0,1,0,0,0
4,0.1118913,0.005773047,4,9,19,4448,0,2024,1,22,18,26,0,0,0,1,0
9,0.1266642349078971,0.000360815,11,0,0,4592,0,2024,2,29,22,33,0,1,0,0,0
30,0.1118913,0.007396717,11,0,0,7237,0,2024,7,27,17,31,0,0,0,1,0
21,0.064380813,0.000902039,4,0,0,4424,0,2024,5,22,9,3,0,0,0,0,1
32,0.2039029728250957,9.020386072523904e-05,1,10,20,8126,0,2024,8,9,23,53,0,0,1,0,0
26,0.080977567,0.000180408,7,8,16,4619,0,2024,6,28,14,9,0,1,0,0,0
29,0.1040488783512675,0.000451019,4,0,0,4518,0,2024,7,19,19,38,0,0,0,0,1
10,0.2039029728250957,9.020386072523904e-05,7,5,10,8129,0,2024,3,4,15,10,0,1,0,0,0
12,0.035290899,0.005592639,8,10,20,4479,0,2024,3,23,5,6,0,0,0,0,1
7,0.080977567,0.000180408,8,4,7,8649,0,2024,2,13,17,0,0,0,0,0,1
31,0.1554805763268283,0.006494678,6,10,20,4555,0,2024,7,29,0,0,0,0,0,1,0
1,0.1266642349078971,0.002525708,8,10,20,4517,0,2024,1,6,22,0,0,0,0,0,1
22,0.2039029728250957,0.004329785,0,10,20,4578,0,2024,5,29,5,50,0,1,0,0,0
23,0.2039029728250957,0.006675086,8,4,8,4579,0,2024,6,9,13,26,0,0,0,1,0
14,0.0479664417289804,0.009742017,8,8,17,4605,0,2024,4,6,5,41,0,0,0,0,1
15,0.1040488783512675,0.002525708,0,10,20,4486,0,2024,4,9,14,56,0,1,0,0,0
3,0.064380813,0.002255097,4,10,20,4410,0,2024,1,21,11,1,0,0,0,1,0
1,0.1266642349078971,0.002525708,11,11,22,4563,0,2024,1,7,15,49,0,0,0,0,1
35,0.1040488783512675,0.000992242,2,10,20,4445,0,2024,8,30,10,43,0,1,0,0,0
27,0.1554805763268283,0.009832221,8,8,64,4561,0,2024,7,4,4,38,0,0,0,0,0
31,0.2039029728250957,0.005412232,11,8,18,4564,0,2024,7,31,15,2,0,0,0,0,1
31,0.1040488783512675,0.00396897,8,10,20,4571,0,2024,8,3,18,11,0,0,0,0,1
23,0.2039029728250957,0.008388959,4,0,0,4448,0,2024,6,6,15,21,0,1,0,0,0
12,0.035290899,0.007216309,8,10,20,4451,0,2024,3,23,11,10,0,0,0,1,0
33,0.064380813,0.004329785,8,10,20,4576,0,2024,8,17,18,35,0,0,1,0,0
22,0.002644538,0.000541223,3,1,1,4575,0,2024,5,29,20,17,0,0,0,1,0
7,0.1118913,0.0107342594263034,4,8,18,4412,0,2024,2,13,16,54,0,0,1,0,0
37,0.1554805763268283,9.020386072523904e-05,3,10,20,4583,0,2024,9,11,0,7,0,0,0,0,0
19,0.0479664417289804,9.020386072523904e-05,5,10,19,4570,0,2024,5,9,7,0,0,0,0,0,1
6,0.1118913,0.003698358,4,9,19,4576,0,2024,2,5,20,47,0,0,1,0,0
19,0.1118913,0.009200794,11,0,0,4542,0,2024,5,9,22,57,0,1,0,0,0
22,0.080977567,9.020386072523904e-05,3,0,0,3518,0,2024,6,1,1,56,0,0,0,0,1
4,0.080977567,0.001623669,3,13,28,8069,0,2024,1,25,12,9,0,1,0,0,0
12,0.035290899,0.004600397,8,8,16,4551,0,2024,3,23,19,25,0,0,1,0,0
20,0.2039029728250957,9.020386072523904e-05,3,5,10,8156,0,2024,5,14,17,34,0,0,0,0,1
14,0.1266642349078971,0.001623669,11,0,0,4517,0,2024,4,1,2,15,0,0,1,0,0
2,0.031825643,0.006224066,8,10,20,4566,0,2024,1,10,17,3,0,1,0,0,0
14,0.1118913,0.0107342594263034,4,0,0,4565,0,2024,4,4,17,30,0,0,1,0,0
34,0.1554805763268283,0.000451019,8,10,20,4593,0,2024,8,20,18,50,0,1,0,0,0
29,0.002462156,0.000270612,1,0,0,8928,0,2024,7,15,16,36,0,0,1,0,0
1,0.064380813,0.000541223,8,9,18,4512,0,2024,1,2,6,7,0,0,1,0,0
25,0.1266642349078971,0.00279632,8,10,20,4604,0,2024,6,22,20,44,0,0,1,0,0
12,0.1118913,0.001353058,3,10,20,4505,0,2024,3,22,11,15,0,0,1,0,0
11,0.1118913,0.005412232,0,9,18,4416,0,2024,3,13,8,27,0,0,1,0,0
19,0.1554805763268283,0.001262854,12,10,20,4527,0,2024,5,10,12,51,0,0,0,0,1
9,0.080977567,9.020386072523904e-05,7,6,12,8329,0,2024,2,26,5,19,0,0,0,1,0
9,0.080977567,0.000811835,1,4,8,8360,0,2024,3,1,10,43,0,0,0,0,1
13,0.2039029728250957,0.001713873,5,10,20,4528,0,2024,3,25,8,25,0,1,0,0,0
28,0.2039029728250957,0.005773047,0,10,20,4505,0,2024,7,11,22,15,0,0,0,0,1
13,0.2039029728250957,0.000270612,2,10,20,4463,0,2024,3,30,18,49,0,0,0,0,1
27,0.1118913,0.002164893,1,3,7,7329,0,2024,7,3,13,30,0,0,1,0,0
23,0.2039029728250957,0.001804077,2,0,0,8138,0,2024,6,8,8,35,0,0,0,0,0
38,0.2039029728250957,0.003517951,12,10,20,8342,0,2024,9,22,19,46,0,1,0,0,0
18,0.1554805763268283,0.004239581,2,14,24,4595,0,2024,4,30,1,58,0,0,0,0,1
24,0.1554805763268283,9.020386072523904e-05,0,8,16,4575,0,2024,6,10,8,0,0,1,0,0,0
3,0.1554805763268283,0.000180408,7,10,20,4444,0,2024,1,18,17,35,0,1,0,0,0
4,0.1040488783512675,0.002525708,0,10,20,4517,0,2024,1,27,10,12,0,0,0,0,1
25,0.080977567,9.020386072523904e-05,8,5,10,0,0,2024,6,21,7,14,0,0,0,0,0
5,0.1266642349078971,0.0023453,0,10,20,4453,0,2024,1,31,16,8,0,1,0,0,0
28,0.2039029728250957,0.001894281,3,10,20,8167,0,2024,7,10,16,27,0,0,0,0,1
34,0.031825643,0.000902039,0,10,20,4495,0,2024,8,24,14,43,0,0,1,0,0
11,0.0479664417289804,0.0107342594263034,4,10,20,4521,0,2024,3,11,17,32,0,0,0,0,1
35,0.1554805763268283,0.003247339,8,7,17,4403,0,2024,8,26,12,49,0,0,0,0,1
32,0.1040488783512675,9.020386072523904e-05,2,12,22,4622,0,2024,8,6,20,33,0,0,0,0,1
4,0.080977567,0.008659571,7,3,6,8688,0,2024,1,23,8,31,0,1,0,0,0
18,0.2039029728250957,0.002255097,2,10,20,4561,0,2024,5,1,0,3,0,0,0,0,1
38,0.1554805763268283,0.000180408,11,8,16,4600,0,2024,9,19,6,43,0,0,0,0,0
4,0.1554805763268283,0.001353058,11,10,20,4580,0,2024,1,23,19,43,0,0,1,0,0
5,0.0479664417289804,0.001262854,8,10,20,4422,0,2024,1,31,10,8,0,0,0,0,1
23,0.2039029728250957,0.000360815,8,10,20,4581,0,2024,6,4,20,1,0,1,0,0,0
4,0.1118913,0.005773047,4,10,20,4505,0,2024,1,25,18,30,0,0,0,1,0
29,0.2039029728250957,9.020386072523904e-05,7,10,20,4545,0,2024,7,16,14,33,0,0,0,0,0
20,0.1266642349078971,0.0221901497384088,8,10,20,4464,0,2024,5,13,23,18,0,0,0,0,1
18,0.031825643,0.001443262,8,10,20,4561,0,2024,5,1,6,9,0,0,0,1,0
15,0.1266642349078971,0.0221901497384088,3,10,20,4561,0,2024,4,13,22,1,0,0,0,0,0
28,0.1118913,0.00279632,4,0,0,7299,0,2024,7,12,14,30,0,0,0,1,0
11,0.1040488783512675,0.000180408,4,0,0,4559,0,2024,3,15,13,19,0,0,0,0,1
28,0.1266642349078971,0.0205664802453545,0,10,20,4532,0,2024,7,11,23,55,0,0,0,0,1
36,0.2039029728250957,0.0128991520837091,12,10,20,8215,0,2024,9,8,19,10,0,0,0,0,1
3,0.1040488783512675,0.007667328,0,10,20,4605,0,2024,1,19,16,21,0,0,0,0,1
16,0.1266642349078971,0.003608154,0,10,20,4455,0,2024,4,15,19,45,0,0,1,0,0
15,0.080977567,0.003698358,1,4,8,8706,0,2024,4,9,7,13,0,0,0,0,1
25,0.064380813,0.002435504,8,10,20,4414,0,2024,6,17,19,45,0,0,1,0,0
19,0.1266642349078971,0.001353058,4,0,0,4539,0,2024,5,7,15,27,0,1,0,0,0
33,0.1554805763268283,0.006494678,7,10,20,4611,0,2024,8,15,10,55,0,0,0,0,1
39,0.2039029728250957,0.000270612,7,4,8,8349,0,2024,9,28,12,32,0,0,0,0,0
3,0.1266642349078971,0.000270612,9,10,20,4427,0,2024,1,15,6,14,0,0,1,0,0
6,0.080977567,0.00279632,7,5,10,8756,0,2024,2,5,16,24,0,0,0,0,0
3,0.2039029728250957,0.005773047,7,10,94,4423,0,2024,1,19,14,22,0,0,0,0,1
3,0.1040488783512675,0.002164893,8,10,20,4556,0,2024,1,20,23,38,0,0,1,0,0
15,0.1554805763268283,0.001082446,0,10,20,4464,0,2024,4,12,21,51,0,1,0,0,0
29,0.1118913,0.001262854,1,3,7,7263,0,2024,7,18,8,55,0,1,0,0,0
16,0.1040488783512675,0.001984485,0,10,20,4430,0,2024,4,21,7,8,0,1,0,0,0
34,0.064380813,0.002435504,8,10,20,4441,0,2024,8,24,18,13,0,1,0,0,0
36,0.080977567,0.005773047,7,15,23,4504,0,2024,9,3,13,26,0,0,0,1,0
6,0.1266642349078971,9.020386072523904e-05,8,10,20,4422,0,2024,2,8,0,43,0,1,0,0,0
6,0.1118913,0.006675086,8,7,17,4492,0,2024,2,7,16,38,0,0,1,0,0
34,0.064380813,0.003608154,5,8,18,4439,0,2024,8,20,10,14,0,0,0,0,1
7,0.1118913,0.007396717,0,8,16,4483,0,2024,2,12,10,15,0,0,0,1,0
16,0.1040488783512675,0.001533466,12,10,20,4541,0,2024,4,15,14,19,0,1,0,0,0
24,0.064380813,0.000180408,11,10,20,4474,0,2024,6,11,21,37,0,0,0,0,1
28,0.2039029728250957,0.002255097,7,5,10,3322,0,2024,7,11,14,38,0,1,0,0,0
9,0.2039029728250957,0.005773047,0,10,20,4532,0,2024,2,28,23,30,0,1,0,0,0
10,0.1040488783512675,0.007667328,4,11,24,4470,0,2024,3,6,18,37,0,0,0,1,0
36,0.080977567,0.001623669,4,10,18,4406,0,2024,9,7,14,15,0,1,0,0,0
25,0.0479664417289804,0.001353058,4,0,0,4479,0,2024,6,22,9,51,0,0,0,0,1
39,0.2039029728250957,0.000631427,0,10,20,8123,0,2024,9,26,17,30,0,1,0,0,0
18,0.0479664417289804,0.002435504,8,9,17,4499,0,2024,5,4,5,19,0,0,0,0,1
3,0.1554805763268283,0.000451019,7,5,10,4443,0,2024,1,19,11,5,0,1,0,0,0
28,0.1554805763268283,0.000180408,11,10,20,4463,0,2024,7,10,20,30,0,0,1,0,0
11,0.1118913,0.001713873,6,0,0,4496,0,2024,3,14,5,55,0,0,1,0,0
21,0.2039029728250957,0.000992242,5,0,0,4431,0,2024,5,25,11,35,0,0,0,0,1
16,0.1554805763268283,9.020386072523904e-05,11,0,0,4588,0,2024,4,19,10,49,0,0,0,0,0
16,0.1266642349078971,0.0221901497384088,0,10,20,4404,0,2024,4,16,1,7,0,1,0,0,0
11,0.2039029728250957,0.004600397,5,8,16,8182,0,2024,3,15,19,40,0,1,0,0,0
27,0.0479664417289804,0.003157135,4,0,0,0,0,2024,7,5,15,34,0,0,1,0,0
37,0.2039029728250957,0.003517951,12,10,20,8184,0,2024,9,14,13,1,0,0,0,1,0
17,0.0479664417289804,0.003157135,4,0,0,4611,0,2024,4,22,9,59,0,1,0,0,0
21,0.0,0.009832221,10,0,0,0,0,2024,5,23,11,33,0,0,0,0,0
35,0.2039029728250957,0.000811835,8,10,20,4412,0,2024,8,28,5,20,0,0,0,0,1
18,0.1040488783512675,0.002706116,11,0,0,4599,0,2024,4,29,0,17,0,0,0,0,0
35,0.1040488783512675,0.000180408,4,8,18,4589,0,2024,8,26,0,3,0,1,0,0,0
11,0.1040488783512675,0.00396897,5,10,20,4592,0,2024,3,14,8,11,0,1,0,0,0
24,0.1040488783512675,0.000541223,4,0,0,4550,0,2024,6,12,16,6,0,1,0,0,0
20,0.1040488783512675,0.00117265,8,10,20,4474,0,2024,5,16,8,5,0,0,0,0,1
26,0.1266642349078971,0.002886524,11,10,20,4561,0,2024,6,26,16,43,0,0,0,0,1
28,0.1266642349078971,0.0221901497384088,3,10,20,4605,0,2024,7,11,8,3,0,0,0,0,0
15,0.080977567,0.000360815,1,8,16,8783,0,2024,4,12,18,25,0,1,0,0,0
